wav_file,stim_number,word_end,non_word,phoneme_pair,morph_n,base,file_format,root,word_side,item_left,item_right,resampled
stimuli/11_desolate_dn_002.wav,11,desolate,nesolate,dn,2,11_desolate_dn_002,wav,stimuli/,right,nesolate,desolate,1
stimuli/11_necessary_dn_002.wav,11,necessary,decessary,dn,2,11_necessary_dn_002,wav,stimuli/,right,decessary,necessary,1
stimuli/11_desolate_dn_003.wav,11,desolate,nesolate,dn,3,11_desolate_dn_003,wav,stimuli/,right,nesolate,desolate,2
stimuli/11_necessary_dn_003.wav,11,necessary,decessary,dn,3,11_necessary_dn_003,wav,stimuli/,right,decessary,necessary,2
stimuli/11_desolate_dn_004.wav,11,desolate,nesolate,dn,4,11_desolate_dn_004,wav,stimuli/,right,nesolate,desolate,3
stimuli/11_necessary_dn_004.wav,11,necessary,decessary,dn,4,11_necessary_dn_004,wav,stimuli/,right,decessary,necessary,3
stimuli/11_desolate_dn_005.wav,11,desolate,nesolate,dn,5,11_desolate_dn_005,wav,stimuli/,right,nesolate,desolate,4
stimuli/11_necessary_dn_005.wav,11,necessary,decessary,dn,5,11_necessary_dn_005,wav,stimuli/,right,decessary,necessary,4
stimuli/11_desolate_dn_006.wav,11,desolate,nesolate,dn,6,11_desolate_dn_006,wav,stimuli/,right,nesolate,desolate,5
stimuli/11_necessary_dn_006.wav,11,necessary,decessary,dn,6,11_necessary_dn_006,wav,stimuli/,right,decessary,necessary,5
stimuli/11_desolate_dn_007.wav,11,desolate,nesolate,dn,7,11_desolate_dn_007,wav,stimuli/,right,nesolate,desolate,6
stimuli/11_necessary_dn_007.wav,11,necessary,decessary,dn,7,11_necessary_dn_007,wav,stimuli/,right,decessary,necessary,6
stimuli/35_beneficial_pb_006.wav,35,beneficial,peneficial,pb,6,35_beneficial_pb_006,wav,stimuli/,right,peneficial,beneficial,1
stimuli/35_penecillin_pb_006.wav,35,penecillin,benecillin,pb,6,35_penecillin_pb_006,wav,stimuli/,right,benecillin,penecillin,1
stimuli/35_beneficial_pb_007.wav,35,beneficial,peneficial,pb,7,35_beneficial_pb_007,wav,stimuli/,right,peneficial,beneficial,2
stimuli/35_penecillin_pb_007.wav,35,penecillin,benecillin,pb,7,35_penecillin_pb_007,wav,stimuli/,right,benecillin,penecillin,2
stimuli/35_beneficial_pb_008.wav,35,beneficial,peneficial,pb,8,35_beneficial_pb_008,wav,stimuli/,right,peneficial,beneficial,3
stimuli/35_penecillin_pb_008.wav,35,penecillin,benecillin,pb,8,35_penecillin_pb_008,wav,stimuli/,right,benecillin,penecillin,3
stimuli/35_beneficial_pb_009.wav,35,beneficial,peneficial,pb,9,35_beneficial_pb_009,wav,stimuli/,right,peneficial,beneficial,4
stimuli/35_penecillin_pb_009.wav,35,penecillin,benecillin,pb,9,35_penecillin_pb_009,wav,stimuli/,right,benecillin,penecillin,4
stimuli/35_beneficial_pb_010.wav,35,beneficial,peneficial,pb,10,35_beneficial_pb_010,wav,stimuli/,right,peneficial,beneficial,5
stimuli/35_penecillin_pb_010.wav,35,penecillin,benecillin,pb,10,35_penecillin_pb_010,wav,stimuli/,right,benecillin,penecillin,5
stimuli/35_beneficial_pb_011.wav,35,beneficial,peneficial,pb,11,35_beneficial_pb_011,wav,stimuli/,right,peneficial,beneficial,6
stimuli/35_penecillin_pb_011.wav,35,penecillin,benecillin,pb,11,35_penecillin_pb_011,wav,stimuli/,right,benecillin,penecillin,6
stimuli/2_bountiful_bm_001.wav,2,bountiful,mountiful,bm,1,2_bountiful_bm_001,wav,stimuli/,left,bountiful,mountiful,1
stimuli/2_bountiful_bm_002.wav,2,bountiful,mountiful,bm,2,2_bountiful_bm_002,wav,stimuli/,left,bountiful,mountiful,2
stimuli/2_bountiful_bm_003.wav,2,bountiful,mountiful,bm,3,2_bountiful_bm_003,wav,stimuli/,left,bountiful,mountiful,3
stimuli/2_bountiful_bm_004.wav,2,bountiful,mountiful,bm,4,2_bountiful_bm_004,wav,stimuli/,left,bountiful,mountiful,4
stimuli/2_bountiful_bm_005.wav,2,bountiful,mountiful,bm,5,2_bountiful_bm_005,wav,stimuli/,left,bountiful,mountiful,5
stimuli/2_bountiful_bm_006.wav,2,bountiful,mountiful,bm,6,2_bountiful_bm_006,wav,stimuli/,left,bountiful,mountiful,6
stimuli/2_mountains_bm_001.wav,2,mountains,bountains,bm,1,2_mountains_bm_001,wav,stimuli/,left,mountains,bountains,1
stimuli/2_mountains_bm_002.wav,2,mountains,bountains,bm,2,2_mountains_bm_002,wav,stimuli/,left,mountains,bountains,2
stimuli/2_mountains_bm_003.wav,2,mountains,bountains,bm,3,2_mountains_bm_003,wav,stimuli/,left,mountains,bountains,3
stimuli/2_mountains_bm_004.wav,2,mountains,bountains,bm,4,2_mountains_bm_004,wav,stimuli/,left,mountains,bountains,4
stimuli/2_mountains_bm_005.wav,2,mountains,bountains,bm,5,2_mountains_bm_005,wav,stimuli/,left,mountains,bountains,5
stimuli/2_mountains_bm_006.wav,2,mountains,bountains,bm,6,2_mountains_bm_006,wav,stimuli/,left,mountains,bountains,6
